Title,Description,Department,Program,Contact Email,Homepage URL,Temporal Coverage,Spatial/Geographic Coverage,Geographic Granularity,Language,Frequency,De-Identification Method,Source Link,Data Collection Tool,License,Limitations,Additional Limitations,Additional Information,Related Resources,Secondary Sources,Citation,Created,Last Updated,Topic,Tags,Dataset URL,Dataset ID
"All-Cause Unplanned 30-Day Hospital Readmission Rate, California (LGHC Indicator)","This dataset contains the statewide number and (unadjusted) rate for all-cause, unplanned, 30-day inpatient readmissions in California hospitals from 2011 to 2017 (contains first three quarters for Year 2015). Data are categorized by age, sex, race/ethnicity, expected payer and county.",Office of Statewide Health Planning & Development,"Office of Statewide Health Planning and Development,  Information Services Division/Healthcare Outcomes Center",dataandreports@oshpd.ca.gov,http://oshpd.ca.gov,2011 - 2017 (contains first three quarters for Year 2015),"Statewide, county",county,English (EN),annually,,,https://oshpd.ca.gov/data-and-reports/submit-data/patient-data/,Terms of Use,Limitations,,"In the absence of other valid quality information, these data may provide useful information about statewide healthcare quality",http://www.cms.gov This information is provided as a courtesy. The State does not control any third party web services or any of the material on their sites. It does not imply approval or endorsement of the organization represented by the website or the website content. See CHHS Terms of Use for additional information.,Medical Information Reporting for California (MIRCal); Automated Licensing Information and Report Tracking System (ALIRTS),"Office of Statewide Health Planning and Development Patient Discharge Data, 2011 - 2017; based on Centers for Medicare and Medicaid Services’ Hospital-Wide All Cause Unplanned Readmission Measure",2017-06-16T22:27:00.602726,2018-08-29T14:32:02.844899,Healthcare,"30-day readmission rate,age,asian,asianpi,black,expected payer,female,gender,healthcare,healthcare quality,hispanic,hospital admission and readmission,hospital quality,inpatient,insurance,lets get healthy california,lghc,male,measures,medi-cal,medicaid,medicare,native american,outcome,patient,patient readmission,private insurance,race,readmission,self-pay,white",http://chhs.ckan.opendata.production.opengov.zone/dataset/all-cause-unplanned-30-day-hospital-readmission-rate-california,all-cause-unplanned-30-day-hospital-readmission-rate-california
Ambulatory Surgery - Characteristics by Facility (Pivot Profile),"This dataset contains annual Excel pivot tables that display summaries of the patients treated in each hospital-based and freestanding Ambulatory Surgery Clinic licensed by the California Department of Public Health (CDPH).  The summary data includes discharge disposition, expected payer, preferred language spoken, age groups, race groups, sex, principal diagnosis groups, principal procedure groups, and principal external cause of injury/morbidity groups.  The data can also be summarized statewide or for a specific facility county, type of control, and/or type of license (hospital or clinic).  Note: Physician-owned ambulatory surgery clinics do not report their data to OSHPD and, therefore, are not included in the statewide frequencies.",Office of Statewide Health Planning & Development,"Office of Statewide Health Planning and Development, Healthcare Analytics Branch",dataandreports@oshpd.ca.gov,https://oshpd.ca.gov/data-and-reports/healthcare-utilization/ambulatory-surgery/,2014-most current year available,Statewide,location point,English,annually,https://chhsdata.github.io/dataplaybook/resource_library/#datade-id,,https://oshpd.ca.gov/data-and-reports/submit-data/patient-data/,Terms of Use,Limitations,"Physician-owned ambulatory surgery clinics do not report their data to OSHPD and, therefore, are not included in the statewide frequencies.",,,,,,,Healthcare,"AS,AS Pivot,AS encounter,ASC,Ambulatory Surgery,OSHPD,Office of Statewide Health Planning and Development,Principal cause of injury,Principal cause of morbidity,age group,discharge disposition,expected payer,free-standing clinic,gender,hospital,outpatient surgery,preferred language,principal diagnosis group,principal procedure group,procedure,race group,sex",https://data.chhs.ca.gov/dataset/ambulatory-surgery-characteristics-by-facility-pivot-profile,ambulatory-surgery-characteristics-by-facility-pivot-profile
Ambulatory Surgery - Characteristics by Patient County of Residence,"This dataset contains annual ambulatory surgery summary data based upon the Patient’s County of Residence.  The summary data includes discharge disposition, expected payer, sex, and race group.  Physician-owned ambulatory surgery clinics do not report their data to OSHPD and, therefore, are not included in the frequencies.",Office of Statewide Health Planning & Development,"Office of Statewide Health Planning and Development, Healthcare Analytics Branch",dataandreports@oshpd.ca.gov,https://www.oshpd.ca.gov/,2012-most recent available,County,county,English,other,https://chhsdata.github.io/dataplaybook/resource_library/#datade-id,,https://oshpd.ca.gov/data-and-reports/submit-data/patient-data/,Terms of Use,Limitations,"Physician-owned ambulatory surgery centers do not report their data to OSHPD and, therefore, are not included in the frequencies.",,"For facility-level data, see the “Ambulatory Surgery-Characteristics by Facility (Pivot Profile)” dataset.",,,,,Healthcare,"AS,Ambulatory Surgery,OSHPD,Office of Statewide Health Planning and Development,disposition,expected payer,gender,hospital,outpatient surgery,patient county,race group,sex",https://data.chhs.ca.gov/dataset/ambulatory-surgery-characteristics-by-patient-county-of-residence_,ambulatory-surgery-characteristics-by-patient-county-of-residence_
"Ambulatory Surgery - Diagnosis, Procedure, and External Cause Codes","This dataset contains statewide counts for every diagnosis, procedure, and external cause of injury/morbidity code reported on the ambulatory surgery data.  Diagnosis codes are reported using ICD-9-CM or ICD-10-CM.  Procedure codes are reported using CPT-4.  External cause of injury/morbidity codes are reported using ICD-9-CM or ICD-10-CM.  ICD-10 replaced ICD-9, effective October 1, 2015.  Note: Physician-owned ambulatory surgery clinics do not report their data to OSHPD and, therefore, are not included in the statewide frequencies.",Office of Statewide Health Planning & Development,"Office of Statewide Health Planning and Development, Healthcare Analytics Branch",dataandreports@oshpd.ca.gov,https://www.oshpd.ca.gov/,2012-most recent available,Statewide,statewide,English,annually,https://chhsdata.github.io/dataplaybook/resource_library/#datade-id,,https://oshpd.ca.gov/data-and-reports/submit-data/patient-data/,Terms of Use,Limitations,"Note: Physician-owned ambulatory surgery clinics do not report their data to OSHPD and, therefore, are not included in the statewide frequencies.",,,,,2018-03-15T20:01:23.208618,2018-08-13T17:29:48.214561,Healthcare,"AS,ASC,CPT-4,Current Procedural Terminology,ICD-10,ICD-9,International Classification of Diseases,OSHPD,Office of Statewide Health Planning and Development,ambulatory surgery,diagnosis code,external cause,frequencies,hospital,injury,morbidity,procedure code",http://chhs.ckan.opendata.production.opengov.zone/dataset/ambulatory-surgery-diagnosis-procedure-and-external-cause-codes,ambulatory-surgery-diagnosis-procedure-and-external-cause-codes
Annual Miles Traveled,"This table contains data on the annual miles traveled by place of occurrence and by mode of transportation (vehicle, pedestrian, bicycle), for California, its regions, counties, and cities/towns.  The ratio uses data from the California Department of Transportation, the U.S. Department of Transportation, and the U.S. Census Bureau. The table is part of a series of indicators in the Healthy Communities Data and Indicators Project of the Office of Health Equity. 
Miles traveled by individuals and their choice of mode – car, truck, public transit, walking or bicycling – have a major impact on mobility and population health. Miles traveled by automobile offers extraordinary personal mobility and independence, but it is also associated with air pollution, greenhouse gas emissions linked to global warming, road traffic injuries, and sedentary lifestyles. Active modes of transport – bicycling and walking alone and in combination with public transit – offer opportunities for physical activity, which has many documented health benefits.  More information about the data table and a data dictionary can be found in the About/Attachments section.",California Department of Public Health,"Office of Health Equity, Healthy Places Team",opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/OHE/Pages/HCI-Search.aspx,2002-2010. 5 year average 2006-2010.,California,regional,English (EN),other,,,"California Department of Transportation, the U.S. Department of Transportation, and the U.S. Census Bureau. ",Terms of Use,Limitations,,,,"Numerator: California Public Road data (CPR); Division of Research, Innovation and System Information; Office of Highway System Information & Performance; Highway Performance Monitoring System; California Department of Transportation (http://www.dot.ca.gov/hq/tsip/hpms/ datalibrary.php). U.S. Department of Transportation, Federal Highway Administration, 2009 National Household Travel Survey (NHTS) (http://nhts.ornl.gov). Denominator 1: Historical Population and Housing Estimates for Cities, Counties, and the State, 2000-2010, Demographic Research Unit, Department of Finance (DOF) (http://www.dof.ca.gov/Forecasting/Demographics/Estimates/). Denominator 2: 2010 Census Gazetteer files, U.S. Census Bureau, http://www.census.gov/geo/maps-data/data/gazetteer2010.html.","Healthy Communities Data and Indicators Project, CDPH and UCSF. 2015.",2017-06-16T22:34:22.969427,2020-10-01T16:06:09.437219,Environment,,https://data.chhs.ca.gov/dataset/annual-miles-traveled-2002-2010,annual-miles-traveled-2002-2010
Applications Received For Insurance Affordability Programs Through Other Eligibility Pathways,"The number of Insurance Affordability Programs (IAPs) applications received through other eligibility pathways. Other eligibility pathways include applications transferred through transition from Advanced Premium Tax Credits (APTC) to Medi-Cal, as well as applications submitted through Hospital Presumptive Eligibility (HPE), through Express Lane, or the Medi-Cal Access Program (MCAP) during a reporting period. APTC to Medi-Cal batch data is reported by CalHEERS and MEDS and consists of individuals who are no longer eligible for APTC but are eligible for Medi-Cal. Another eligibility pathway is Express Lane Eligibility (ELE), which is a program that waives the need for a Medi-Cal eligibility determination for 12 months if the individual is enrolled in CalFresh. Hospital Presumptive Eligibility (HPE) applications are submitted through qualified HPE Providers. ELE and HPE data are reported by DHCS and commencing with this report, MCAP applications are reported by MAXIMUS Inc. This dataset is part of public reporting requirements of set forth in the California Welfare and Institutions Code 14102.5.",Department of Health Care Services,Medi-Cal Eligibility Division / Program Review Branch / Data Analytics Section,opendata@dhcs.ca.gov,http://www.dhcs.ca.gov,2016 Quarter 1 to 2020 Quarter 2,California     ,statewide,English,quarterly,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,,CALHEERS and MEDS,Terms of Use,Limitations,"Some presented eligible counts are considered preliminary and subject to change. Eligibility for Medi-Cal may occur retroactively and it may take time for eligibility determinations to be processed and reported to DHCS. As such, eligibility data is approximately 96% complete for the current month, 98% complete within one month, and over 99% complete within 2 months. Eligibility counts for a specific month are considered complete for statistical reporting purposes 12 months after the month’s end.",,,,,2018-01-03T22:47:33.714452,2020-08-24T15:46:21.937207,Healthcare,,https://data.chhs.ca.gov/dataset/applications-received-for-insurance-affordability-programs-through-other-eligibility-pathways,applications-received-for-insurance-affordability-programs-through-other-eligibility-pathways
Applications Submitted for Insurance Affordability Programs With the Help of an Assister,"This dataset provides the total number of Insurance Affordability Programs (IAPs) applications submitted with the help of an assister. This data is from the California Healthcare Eligibility, Enrollment and Retention System (CalHEERS). IAPs are comprised of Medi-Cal and subsidized Qualified Health Plans (QHPs) offered through Covered California. Assisters are affiliated with Covered California and may include agents, Service Center Representatives, Certified Enrollment Counselors, County Eligibility Workers, and Plan-Based Enrollers. This dataset is part of public reporting requirements set forth in the California Welfare and Institutions Code 14102.5(5). ",Department of Health Care Services,Covered California,opendata@dhcs.ca.gov ,http://www.dhcs.ca.gov,2016 Quarter 1 to 2020 Quarter 2,California,statewide,English,quarterly,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,,"California Healthcare Eligibility, Enrollment and Retention System (CalHEERS) ",Terms of Use,Limitations,"Some presented eligible counts are considered preliminary and subject to change. Eligibility for Medi-Cal may occur retroactively and it may take time for eligibility determinations to be processed and reported to DHCS. As such, eligibility data is approximately 96% complete for the current month, 98% complete within one month, and over 99% complete within 2 months. Eligibility counts for a specific month are considered complete for statistical reporting purposes 12 months after the reporting month’s end.",,,,,2018-01-03T21:48:36.652507,2020-09-09T16:22:29.167308,Healthcare,,https://data.chhs.ca.gov/dataset/applications-submitted-for-insurance-affordability-programs-with-the-help-of-an-assister,applications-submitted-for-insurance-affordability-programs-with-the-help-of-an-assister
Approved research projects by the Committee for the Protection of Human Subjects,This dataset contains research projects approved by the California Health and Human Services Agency (CHHS) Committee for the Protection of Human Subjects (CPHS).  CPHS is the CHHS institutional review board and reviews all research involving human participants conducted or supported by the CHHS and all research using private information held by CHHS and all other state agencies.,Office of Statewide Health Planning & Development,Committee for the Protection of Human Subjects,opendata@oshpd.ca.gov,http://www.oshpd.ca.gov/boards/cphs/ ,2016,n/a,other,English (EN),quarterly,,http://www.oshpd.ca.gov/boards/cphs/,California Protocol Electronic Communication Tracking System (CalPROTECTS),Terms of Use,Limitations,,,,,"Committee for the Protection of Human Subjects, Approved Research Protocols, 2016 ",2017-06-16T22:24:54.612046,2020-07-08T20:33:05.972423,Resources,,https://data.chhs.ca.gov/dataset/approved-research-projects-by-the-committee-for-the-protection-of-human-subjects,approved-research-projects-by-the-committee-for-the-protection-of-human-subjects
Asthma ED Visit Rates (LGHC Indicator),"This is a source dataset for a Let's Get Healthy California indicator at https://letsgethealthy.ca.gov/.
This dataset contains counts and rates (per 10,000 residents) of asthma (ICD9-CM, 493.0-493.9) emergency department visits among California residents by County and age group (all ages, 0-17, 18+). The data are derived from the Office of Statewide Health Planning and Development emergency department databases. 
These data include emergency department visits from all licensed hospitals in California. These data are based only on primary discharge diagnosis codes (ICD9-CM).
NOTE: Rates are calculated from the total number of Asthma ED Visits (not the unique number of individuals).",California Department of Public Health,California Breathing Asthma Program,opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CCDPHP/DEODC/EHIB/CPE/Pages/CaliforniaBreathing.aspx,2011-2018,California,county,English (EN),annually,Counts and rates are not provided where the number of events was less 12.,https://www.cdph.ca.gov/Programs/CCDPHP/DEODC/EHIB/CPE/Pages/CaliforniaBreathingData.aspx ,"Emergency Department data from the California Office of Statewide Health Planning and Development, 2012. http://www.oshpd.ca.gov/HID/Data_Request_Center/Data_Documentation.html",Terms of Use,Limitations,,,,www.oshpd.ca.gov   This information is provided as a courtesy. It does not imply endorsement of the organization represented by the website ,"Healthcare Information Division, Office of Statewide Health Planning and Development [Distributor: California Breathing Asthma Program, California Department of Public Health]. 2016. AsthmaEDvisitRates-by-County-CA-CDPH.csv",2017-06-16T22:21:13.648476,2020-06-26T22:49:30.886338,Diseases and Conditions,,https://data.chhs.ca.gov/dataset/asthma-ed-visit-rates-lghc-indicator-07,asthma-ed-visit-rates-lghc-indicator-07
"Average Reimbursement Per Family PACT Client Served, by Fiscal Year","This dataset contains the average reimbursement per client served by fiscal year (FY) for services accessed through the Family Planning, Access, Care, and Treatment (Family PACT) Program (https://www.dhcs.ca.gov/services/ofp/Pages/OfficeofFamilyPlanning.aspx) from July 1, 2003 through June 30, 2016. This dataset includes the following variables:  average reimbursement per Family PACT client served by FY. Data represent Family PACT paid claims through 6/30/2016.",Department of Health Care Services,Office of Family Planning / Enterprise Data and Information Management / Data Management and Analytics Division,FamPACT@dhcs.ca.gov,http://www.familypact.org,2003 - 2015,Statewide,statewide,English (EN),annually,,http://www.familypact.org,,Terms of Use,Limitations,,Data for fiscal years 2003-2013 was extracted by UCSF under Contract #15-92030,,,"Bixby Center for Global Reproductive Health. University of California, San Francisco. Average Reimbursement per Family PACT Client Served, Fiscal Years 2003– 2013, Sacramento, CA. 2015",2017-06-16T22:32:28.783084,2020-06-01T16:50:20.203954,Healthcare,,https://data.chhs.ca.gov/dataset/average-reimbursement-per-family-pact-client-served-by-fiscal-year,average-reimbursement-per-family-pact-client-served-by-fiscal-year
