#,Name,Description,Type,Street Address,City,State,Zip Code,Phone,Weblink,Full Address,Latitude,Longitude
27,SAINT MARK UNITED METHODIST CHURCH,The agency provides emergency food service to individuals who live in Los Angeles County. There are no geographic restrictions.,Physical,8305 S. Gramercy Pl.,Los Angeles,CA,90047,(323) 753-3535,https://www.211la.org/211search/more?site_id=1061650001,"8305 S. Gramercy Pl., Los Angeles, CA 90047",33.96321,-118.3135
28,ST GREGORY'S EPISCOPAL CHURCH,The church provides emergency food for people in Long Beach and surrounding areas. Geographic restrictions apply.,Physical,6201 Willow St.,Long Beach,CA,90815,(562) 420-1311,https://www.211la.org/211search/more?site_id=1068460001,"6201 Willow St., Long Beach, CA 90815",33.803666,-118.110506
29,SHEPHERD'S PANTRY - BALDWIN PARK,"The agency provides emergency food, information and referral, personal goods and volunteer opportunities for people who live in the San Gabriel Valley area. There are no geographic restrictions.",Physical,13020 Francisquito Ave.,Baldwin Park,CA,91706,(626) 671-0090,https://www.211la.org/211search/more?site_id=1068660026,"13020 Francisquito Ave., Baldwin Park, CA 91706",34.078848,-117.988895
30,FOOTHILL UNITY CENTER INC - MONROVIA,"The center provides emergency food, health services, holiday assistance, personal goods, and shelter for people who live in the eleven city service areas; services are provided through two sites. The service areas for the Monrovia site are Arcadia, Azusa, Baldwin Park, Bradbury, Duarte, Irwindale, Monrovia, and Sierra Madre; the service areas for the Pasadena site are Altadena, Pasadena, and South Pasadena. Geographic restrictions apply for most services.",Physical,790 W. Chestnut Ave.,Monrovia,CA,91106,(626) 358-3486,https://www.211la.org/211search/more?site_id=1032679001,"790 W. Chestnut Ave., Monrovia, CA 91106",34.142282,-118.01608
31,ST CHARLES HOLY FAMILY SERVICE CENTER,"The center provides emergency food, homeless support services, household goods and personal goods for families who live within parish boundaries which extend north to Victory Blvd., south to Mulholland, east to Hollywood Way and west to Laurel Canyon, including people who are undocumented. Services are also available for people who are homeless. Services are restricted to parish boundaries residents. Persons living outside our boundaries may receive assistance one time.",Physical,10825 Moorpark St.,North Hollywood,CA,91602,(818) 985-7365,https://www.211la.org/211search/more?site_id=1033469001,"10825 Moorpark St., North Hollywood, CA 91602",34.150476,-118.36688
32,OUR LADY QUEEN OF ANGELS CATHOLIC CHURCH,"This church provides clothing, emergency food and holiday assistance for low-income people who primarily lives in the 90012 zip code area, including people who are homeless. Services are targeted, but not restricted, to the Spanish-speaking community. Geographic restrictions apply.",Physical,535 N. Main St.,Los Angeles,CA,90012,(213) 629-3101,https://www.211la.org/211search/more?site_id=1033679001,"535 N. Main St., Los Angeles, CA 90012",34.0569,-118.2394
33,FIRST UNITED METHODIST CHURCH OF COMPTON,The church provides emergency food assistance and holiday assistance for people who live in Compton. There are no geographic restrictions.,Physical,1025 S. Long Beach Blvd.,Compton,CA,90221,(310) 639-0775,https://www.211la.org/211search/more?site_id=1033689001,"1025 S. Long Beach Blvd., Compton, CA 90221",33.886998,-118.206967
34,ST PHILIP'S EPISCOPAL CHURCH,The church provides emergency food for low-income families and individuals who are Los Angeles zip code 90011 residents. Geographic restrictions apply.,Physical,2800 Stanford Ave.,Los Angeles,CA,90011,(323) 232-3494,https://www.211la.org/211search/more?site_id=1036229001,"2800 Stanford Ave., Los Angeles, CA 90011",34.018765,-118.260616
35,"LOS ANGELES COUNTY WORKFORCE DEVELOPMENT, AGING AND COMMUNITY SERVICES - SANTA CLARITA VALLEY SERVICE CENTER","This is a multipurpose center that provides emergency food, information and referral, recreation programs, utility bill assistance and volunteer opportunities for people who live in the Santa Clarita Valley. The agency also acts as an cooling center during the summer months. Geographic restrictions apply for some services.",Physical,26111 Bouquet Canyon Rd.,Santa Clarita,CA,91350,(661) 254-0070,https://www.211la.org/211search/more?site_id=1027159001,"26111 Bouquet Canyon Rd., Santa Clarita, CA 91350",34.41787,-118.542306
36,CHRISTIAN OUTREACH IN ACTION,"The organization provides emergency food, holiday assistance, homeless support services and personal goods for people who are in the Long Beach area, including people who are homeless. Geographic restrictions apply for some services.",Physical,515 E. 3rd St.,Long Beach,CA,90802,(562) 432-1440,https://www.211la.org/211search/more?site_id=1030609001,"515 E. 3rd St., Long Beach, CA 90802",33.770721,-118.186048
37,EASTMONT COMMUNITY CENTER,"The center provides adult education, advocacy, emergency food, food rescue programs, personal goods, services for older adults and a thrift shop for people who live in Commerce, East Los Angeles and Montebello. Services are targeted, but not restricted, to the Spanish-speaking community. Geographic restrictions apply for some services.",Physical,701 S. Hoefner Ave.,Los Angeles,CA,90022,(323) 726-7998,https://www.211la.org/211search/more?site_id=1021099001,"701 S. Hoefner Ave., Los Angeles, CA 90022",34.021059,-118.149928
38,"LOS ANGELES COUNTY WORKFORCE DEVELOPMENT, AGING AND COMMUNITY SERVICES - SAN GABRIEL VALLEY SERVICE CENTER","This is a multi-service community center that provides emergency food, information and referral, services for older adults and utility bill assistance for people who live in the San Gabriel Valley and Los Angeles County area.",Physical,1441 Santa Anita Ave.,South El Monte,CA,91733,(626) 575-5431,https://www.211la.org/211search/more?site_id=1025659001,"1441 Santa Anita Ave., South El Monte, CA 91733",34.045155,-118.045541
39,ST MARGARET MARY'S CHRISTIAN SERVICES,"The agency provides emergency food to people who live in Carson, Harbor City, Lomita, Torrance and Wilmington, including people who are homeless and undocumented. Services are restricted to Carson, Harbor City, Lomita, Torrance and Wilmington residents.",Physical,25511 Eshelman Ave.,Lomita,CA,90717,(310) 326-3364,https://www.211la.org/211search/more?site_id=1038009001,"25511 Eshelman Ave., Lomita, CA 90717",33.791648,-118.315354
40,BETHEL FOOD BANK OUTREACH,"The agency provides emergency food, holiday assistance and personal goods for people who live in the San Gabriel and Pomona Valleys, including people who are homeless. There are no geographic restrictions.",Physical,1921 N. Garey Ave.,Pomona,CA,91767,(909) 630-5883,https://www.211la.org/211search/more?site_id=1031949001,"1921 N. Garey Ave., Pomona, CA 91767",34.081257,-117.753058
41,HOPE-NET - FIRST UNITARIAN,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,2936 W. 8th St.,Los Angeles,CA,90005,(213) 389-1356,https://www.211la.org/211search/more?site_id=1032059009,"2936 W. 8th St., Los Angeles, CA 90005",34.05758,-118.29013
42,HOPE-NET - ISLAMIC CENTER,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,434 S. Vermont Ave.,Los Angeles,CA,90020,(213) 382-9200,https://www.211la.org/211search/more?site_id=1032059012,"434 S. Vermont Ave., Los Angeles, CA 90020",34.06646,-118.29145
43,HOPE-NET - Metropolitan Community Church,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,4607 Prospect Ave.,Los Angeles,CA,90027,(323) 669-3434,https://www.211la.org/211search/more?site_id=1032059015,"4607 Prospect Ave., Los Angeles, CA 90027",34.101814,-118.289641
44,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM - S MARK TAPER CENTER,The program provides emergency food services and nutrition information for low-income persons who have AIDS or HIV illness in Los Angeles County. There are no geographic restrictions.,Physical,1807 E. 120th St.,Los Angeles,CA,90059,(213) 201-1635,https://www.211la.org/211search/more?site_id=1030729004,"1807 E. 120th St., Los Angeles, CA 90059",33.924803,-118.240568
45,ALTADENA SEVENTH-DAY ADVENTIST CHURCH,This agency provides emergency food and personal goods for residents of Altadena. There are geographic restrictions.,Physical,2609 N. Lincoln Ave.,Altadena,CA,91001,(626) 794-3953,https://www.211la.org/211search/more?site_id=1053329001,"2609 N. Lincoln Ave., Altadena, CA 91001",34.190501,-118.159005
46,CATHOLIC CHARITIES OF LOS ANGELES - GLENDALE COMMUNITY CENTER,"This agency provides case management and emergency food for low-income individuals and families, including people who are homeless. Services are restricted to Glendale; La Canada; La Crescenta; Los Angeles zip codes 90027, 90039, 90041, 90042, and 90065; Montrose and Tujunga residents.",Physical,4322 San Fernando Rd.,Glendale,CA,91204,(213) 318-5707,https://www.211la.org/211search/more?site_id=1009739001,"4322 San Fernando Rd., Glendale, CA 91204",34.131586,-118.260853
47,CATHOLIC CHARITIES OF LOS ANGELES - GUADALUPE COMMUNITY CENTER,"The agency is a community center which provides adult education, early childhood education, emergency food (through its Loaves and Fishes IV program), employment services for refugees, holiday assistance, youth recreation programs and senior programs for people in a specific area of the San Fernando Valley. In addition, the center serves as the administrative site for the San Fernando Pastoral Region Catholic Charities.",Physical,21600 Hart St.,Canoga Park,CA,91303,(213) 251-3566,https://www.211la.org/211search/more?site_id=1009869001,"21600 Hart St., Canoga Park, CA 91303",34.197262,-118.600859
48,"LOS ANGELES COUNTY WORKFORCE DEVELOPMENT, AGING AND COMMUNITY SERVICES - SAN PEDRO SERVICE CENTER","The center provides adult education, emergency food, information and referral, services for older adults and utility bill assistance in the Harbor area. The center also acts as a cooling center during hot summer months. Geographic restrictions apply for some services.",Physical,769 W. Third St.,San Pedro,CA,90731,(310) 519-6094,https://www.211la.org/211search/more?site_id=1007729001,"769 W. Third St., San Pedro, CA 90731",33.74139,-118.29386
49,SALVATION ARMY CORPS COMMUNITY CENTER - GLENDALE,"The agency provides emergency food, holiday assistance, nutrition programs, recreational programs and shelter for people who live in Glendale and Burbank areas. Income, age, and geographic restrictions apply for some services.",Physical,320 W. Windsor Rd.,Glendale,CA,91204,(818) 246-5586,https://www.211la.org/211search/more?site_id=1020599001,"320 W. Windsor Rd., Glendale, CA 91204",34.136364,-118.258671
50,SALVATION ARMY CORPS COMMUNITY CENTER - LONG BEACH,"This agency offers counseling services, emergency food, holiday assistance, social and recreational activities and transportation for youth and adults who live in Long Beach, Signal Hill and Lakewood. The agency also provides administrative services for and houses the Salvation Army's Long Beach Family Service Office which offers a variety of services.",Physical,3092 Long Beach Blvd.,Long Beach,CA,90807,(562) 426-7637,https://www.211la.org/211search/more?site_id=1015559001,"3092 Long Beach Blvd., Long Beach, CA 90807",33.813162,-118.189027
51,FISH OF WEST VALLEY,The agency provides emergency food for people in Chatsworth and adjoining zip code areas. Geographic restrictions apply.,Physical,20440 Lassen St.,Chatsworth,CA,91311,(818) 882-3474,https://www.211la.org/211search/more?site_id=1021599001,"20440 Lassen St., Chatsworth, CA 91311",34.249794,-118.578525
52,FIRST NEW CHRISTIAN MISSIONARY BAPTIST CHURCH - FOOD BANK PROGRAM,The agency provides emergency food for families in the Athens and Westmont communities. There are no geographic restrictions.,Physical,1555 W. 108th St.,Los Angeles,CA,90047,(323) 756-2541,https://www.211la.org/211search/more?site_id=1053279001,"1555 W. 108th St., Los Angeles, CA 90047",33.938489,-118.304279
53,HELP ME HELP YOU - PHILADELPHIAN SDA CHURCH,"The agency provides education services, emergency food, health insurance and money management for individuals and families who live in the Los Angeles County area. There are no geographic restrictions.",Physical,2640 Santa Fe Ave.,Long Beach,CA,90810,(562) 612-5001,https://www.211la.org/211search/more?site_id=1053659002,"2640 Santa Fe Ave., Long Beach, CA 90810",33.805105,-118.215095
54,WORLD HARVEST FOOD BANK,"The agency provides advocacy, emergency food and holiday assistance to people who live in Los Angeles County. There are no geographic restrictions.",Physical,3100 Venice Blvd.,Los Angeles,CA,90019,(213) 746-2227,https://www.211la.org/211search/more?site_id=1055189001,"3100 Venice Blvd., Los Angeles, CA 90019",34.043345,-118.318162
55,SHEPHERD'S PANTRY,"The agency provides emergency food, information and referral, personal goods and volunteer opportunities for people who live in the San Gabriel Valley area. There are no geographic restrictions.",Physical,1418 Arrow Hwy.,Irwindale,CA,91706,(626) 305-0392,https://www.211la.org/211search/more?site_id=1055249001,"1418 Arrow Hwy., Irwindale, CA 91706",34.114878,-117.976492
56,ST PHILOMENA CHURCH,"The program provides emergency food and holiday assistance for low-income residents of Carson, Long Beach zip code 90810 and Torrance zip code 90502. Services are restricted to Carson, Long Beach zip code 90810 and Torrance zip code 90502 residents.",Physical,21900 S. Main St.,Carson,CA,90745,(310) 835-7161,https://www.211la.org/211search/more?site_id=1033639001,"21900 S. Main St., Carson, CA 90745",33.828859,-118.276746
57,TAMARIND AVENUE 7TH DAY ADVENTIST CHURCH,"The church provides emergency food for low-income people who live in Compton, including people who are undocumented. Services are targeted, but not restricted, to Compton residents.",Physical,417 S. Tamarind Ave.,Compton,CA,90220,(323) 774-0181,https://www.211la.org/211search/more?site_id=1033759001,"417 S. Tamarind Ave., Compton, CA 90220",33.892704,-118.221952
58,EPIPHANY EPISCOPAL CHURCH - LINCOLN HEIGHTS,"The church provides emergency food to residents of Los Angeles County, including people who are homeless or undocumented. There are no geographic restrictions.",Physical,2808 Altura St.,Los Angeles,CA,90031,(323) 227-9931,https://www.211la.org/211search/more?site_id=1034599001,"2808 Altura St., Los Angeles, CA 90031",34.075361,-118.212644
59,SAN GABRIEL MISSION CHRISTIAN SERVICE CENTER,"The center provides emergency food, holiday assistance, personal goods for low-income and homeless people of all ages who live in the city of San Gabriel and volunteer opportunities for people 18 years and older who live in San Gabriel Valley. Service is restricted to San Gabriel Mission Parish boundaries.",Physical,254 1/2 S. Santa Anita,San Gabriel,CA,91776,(626) 289-5165,https://www.211la.org/211search/more?site_id=1032019001,"254 1/2 S. Santa Anita, San Gabriel, CA 91776",34.098623,-118.107642
60,HOPE-NET - IMMANUEL PRESBYTERIAN CHURCH,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,3300 Wilshire Blvd.,Los Angeles,CA,90010,(213) 389-3191,https://www.211la.org/211search/more?site_id=1032059002,"3300 Wilshire Blvd., Los Angeles, CA 90010",34.061611,-118.294606
61,HOPE-NET - ST JAMES EPISCOPAL CHURCH,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,3903 Wilshire Blvd.,Los Angeles,CA,90010,(213) 388-3417,https://www.211la.org/211search/more?site_id=1032059004,"3903 Wilshire Blvd., Los Angeles, CA 90010",34.061868,-118.312077
62,HOPE-NET - WILSHIRE BOULEVARD TEMPLE,"The agency provides emergency food and housing services for people who live in Los Angeles County. Services are targeted, but not restricted, to the Metro Los Angeles district. Geographic restrictions may apply for some sites.",Physical,3663 Wilshire Blvd.,Los Angeles,CA,90010,(213) 388-2401,https://www.211la.org/211search/more?site_id=1032059005,"3663 Wilshire Blvd., Los Angeles, CA 90010",34.061882,-118.304863
63,FOOTHILL UNITY CENTER INC - PASADENA,"The center provides emergency food, health services, holiday assistance, personal goods, and shelter for people who live in the eleven city service areas; services are provided through two sites. The service areas for the Monrovia site are Arcadia, Azusa, Baldwin Park, Bradbury, Duarte, Irwindale, Monrovia, and Sierra Madre; the service areas for the Pasadena site are Altadena, Pasadena, and South Pasadena. Geographic restrictions apply for most services.",Physical,191 N. Oak Ave.,Pasadena,CA,91107,(626) 584-7420,https://www.211la.org/211search/more?site_id=1032679003,"191 N. Oak Ave., Pasadena, CA 91107",34.149598,-118.107841
64,ST GERARD MAJELLA CHURCH,The agency provides emergency food for people who live in West Los Angeles. The service area includes part of zip codes 90066 and 90230. Service is restricted to West Los Angeles residents.,Physical,4439 Inglewood Blvd.,Los Angeles,CA,90066,(310) 390-5034,https://www.211la.org/211search/more?site_id=1043399001,"4439 Inglewood Blvd., Los Angeles, CA 90066",33.995411,-118.418931
65,CITY OF CUDAHY PARKS AND RECREATION DEPARTMENT - CLARA STREET PARK,The agency provides recreational programs for people of all ages who live in Cudahy. Age requirements are restricted to some services; geographical restrictions apply to some services.,Physical,4835 Clara St.,Cudahy,CA,90201,(323) 773-5143,https://www.211la.org/211search/more?site_id=1063000002,"4835 Clara St., Cudahy, CA 90201",33.964924,-118.182124
66,MY FRIENDS HOUSE INC,This agency provides emergency food for people who live in Los Angeles County. There are no geographic restrictions.,Physical,3533 W. 58th Pl.,Los Angeles,CA,90043,(323) 292-4939,https://www.211la.org/211search/more?site_id=1063720001,"3533 W. 58th Pl., Los Angeles, CA 90043",33.98822,-118.33419
67,AMIGOS SIN BARRERAS - FRIENDS WITHOUT BARRIERS - CIRCLE OF LIFE FOOD PANTRY,The agency provides emergency food and other services for low-income people with HIV or AIDS living in the South Bay area (SPA 8). Service is restricted to SPA 8 residents.,Physical,20413 Berendo St.,Torrance,CA,90502,(310) 316-7074,https://www.211la.org/211search/more?site_id=1066670009,"20413 Berendo St., Torrance, CA 90502",33.845231,-118.292974
68,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - ROCK OF THE VALLEY,"The agency provides emergency food for individuals, couples, families and seniors who live in the San Fernando Valley area. Services are targeted but not restricted to San Fernando Valley residents. No food is distributed from the Administrative Site. There are no geographic restrictions.",Physical,7722 Kester Ave.,Van Nuys,CA,91405,(818) 781-4156,https://www.211la.org/211search/more?site_id=1067430006,"7722 Kester Ave., Van Nuys, CA 91405",34.210903,-118.457332
